sales,profit,region,state,category,type,caffeination
180,7,Central,WI,Tea,Earl Grey,Regular
110,34,Central,WI,Espresso,Decaf Espresso,Decaf
150,38,Central,WI,Espresso,Caffe Mocha,Regular
180,70,Central,WI,Herbal Tea,Chamomile,Decaf
81,28,Central,WI,Herbal Tea,Lemon,Decaf
150,47,Central,WI,Tea,Darjeeling,Regular
123,47,East,CT,Tea,Darjeeling,Regular
94,35,East,CT,Tea,Green Tea,Regular
130,30,East,CT,Espresso,Decaf Espresso,Decaf
180,7,East,CT,Espresso,Caffe Mocha,Regular
310,115,East,CT,Coffee,Columbian,Regular
190,40,East,CT,Herbal Tea,Lemon,Decaf
170,47,East,CT,Herbal Tea,Mint,Decaf
80,28,East,FL,Tea,Darjeeling,Regular
81,28,East,FL,Tea,Green Tea,Regular
180,50,East,FL,Espresso,Decaf Espresso,Decaf
190,9,East,FL,Espresso,Caffe Mocha,Regular
200,67,East,FL,Coffee,Decaf Irish Cream,Decaf
210,68,East,FL,Coffee,Columbian,Regular
110,34,East,FL,Herbal Tea,Chamomile,Decaf
120,13,East,FL,Herbal Tea,Lemon,Decaf
150,39,East,FL,Herbal Tea,Mint,Decaf
80,29,East,MA,Tea,Darjeeling,Regular
80,29,East,MA,Tea,Green Tea,Regular
341,100,East,MA,Espresso,Regular Espresso,Regular
126,23,East,MA,Espresso,Caffe Mocha,Regular
494,367,East,MA,Coffee,Columbian,Regular
130,17,East,MA,Herbal Tea,Lemon,Decaf
45,10,East,NH,Tea,Darjeeling,Regular
43,11,East,NH,Tea,Green Tea,Regular
65,8,East,NH,Espresso,Regular Espresso,Regular
90,10,East,NH,Espresso,Caffe Mocha,Regular
93,20,East,NH,Coffee,Amaretto,Regular
120,25,East,NH,Coffee,Columbian,Regular
76,4,East,NH,Herbal Tea,Lemon,Decaf
234,101,East,NY,Tea,Darjeeling,Regular
219,94,East,NY,Tea,Earl Grey,Regular
134,54,East,NY,Tea,Green Tea,Regular
490,175,East,NY,Espresso,Regular Espresso,Regular
61,172,East,NY,Espresso,Caffe Mocha,Regular
678,262,East,NY,Coffee,Columbian,Regular
483,111,East,NY,Herbal Tea,Lemon,Decaf
180,113,East,NY,Herbal Tea,Mint,Decaf
180,70,South,LA,Espresso,Caffe Mocha,Regular
150,48,South,LA,Espresso,Decaf Espresso,Decaf
112,35,South,LA,Herbal Tea,Chamomile,Decaf
190,40,South,LA,Herbal Tea,Lemon,Decaf
180,8,South,LA,Espresso,Caffe Latte,Regular
85,30,South,LA,Coffee,Columbian,Regular
81,28,South,LA,Coffee,Decaf Irish Cream,Decaf
90,10,South,NM,Espresso,Caffe Mocha,Regular
82,9,South,NM,Espresso,Decaf Espresso,Decaf
45,11,South,NM,Herbal Tea,Chamomile,Decaf
62,4,South,NM,Herbal Tea,Lemon,Decaf
65,8,South,NM,Espresso,Caffe Latte,Regular
120,26,South,NM,Coffee,Columbian,Regular
99,39,South,NM,Coffee,Decaf Irish Cream,Decaf
80,28,South,OK,Espresso,Caffe Mocha,Regular
210,67,South,OK,Espresso,Decaf Espresso,Decaf
120,13,South,OK,Herbal Tea,Chamomile,Decaf
190,10,South,OK,Herbal Tea,Lemon,Decaf
200,66,South,OK,Espresso,Caffe Latte,Regular
100,29,South,OK,Coffee,Columbian,Regular
80,28,South,OK,Coffee,Decaf Irish Cream,Decaf
219,95,South,TX,Espresso,Caffe Mocha,Regular
134,54,South,TX,Espresso,Decaf Espresso,Decaf
140,33,South,TX,Herbal Tea,Chamomile,Decaf
140,42,South,TX,Herbal Tea,Lemon,Decaf
180,53,South,TX,Espresso,Caffe Latte,Regular
452,159,South,TX,Coffee,Columbian,Regular
190,68,South,TX,Coffee,Decaf Irish Cream,Decaf
114,44,West,UT,Espresso,Caffe Latte,Regular
112,34,West,UT,Espresso,Caffe Mocha,Regular
123,47,West,UT,Espresso,Decaf Espresso,Decaf
93,21,West,UT,Herbal Tea,Chamomile,Decaf
120,25,West,UT,Herbal Tea,Lemon,Decaf
99,40,West,UT,Herbal Tea,Mint,Decaf
90,10,West,UT,Tea,Darjeeling,Regular
82,9,West,UT,Tea,Earl Grey,Regular
65,9,West,UT,Tea,Green Tea,Regular
170,47,West,UT,Coffee,Amaretto,Regular
130,30,West,UT,Coffee,Columbian,Regular
190,39,West,UT,Coffee,Decaf Irish Cream,Decaf
456,140,West,CA,Espresso,Caffe Latte,Regular
250,17,West,CA,Espresso,Caffe Mocha,Regular
546,203,West,CA,Espresso,Decaf Espresso,Decaf
234,102,West,CA,Herbal Tea,Chamomile,Decaf
452,160,West,CA,Herbal Tea,Lemon,Decaf
190,67,West,CA,Herbal Tea,Mint,Decaf
219,94,West,CA,Tea,Darjeeling,Regular
134,54,West,CA,Tea,Earl Grey,Regular
180,54,West,CA,Tea,Green Tea,Regular
145,2,West,CA,Coffee,Amaretto,Regular
678,262,West,CA,Coffee,Columbian,Regular
118,117,West,CA,Coffee,Decaf Irish Cream,Decaf
43,11,West,NV,Espresso,Caffe Latte,Regular
45,10,West,NV,Espresso,Caffe Mocha,Regular
43,11,West,NV,Espresso,Decaf Espresso,Decaf
62,4,West,NV,Coffee,Decaf Irish Cream,Decaf
250,16,West,NV,Herbal Tea,Chamomile,Decaf
345,111,West,NV,Herbal Tea,Lemon,Decaf
234,86,West,NV,Herbal Tea,Mint,Decaf
546,203,West,NV,Tea,Darjeeling,Regular
456,141,West,NV,Tea,Earl Grey,Regular
17,354,West,NV,Tea,Green Tea,Regular
76,3,West,NV,Coffee,Columbian,Regular
130,16,West,OR,Espresso,Caffe Latte,Regular
140,33,West,OR,Espresso,Caffe Mocha,Regular
341,99,West,OR,Espresso,Decaf Espresso,Decaf
140,42,West,OR,Coffee,Decaf Irish Cream,Decaf
90,33,West,OR,Herbal Tea,Chamomile,Decaf
100,29,West,OR,Herbal Tea,Lemon,Decaf
80,28,West,OR,Tea,Darjeeling,Regular
210,68,West,OR,Tea,Earl Grey,Regular
200,67,West,OR,Tea,Green Tea,Regular
150,1,West,OR,Coffee,Amaretto,Regular
160,28,West,OR,Coffee,Columbian,Regular
110,35,West,WA,Espresso,Caffe Latte,Regular
120,13,West,WA,Espresso,Caffe Mocha,Regular
150,39,West,WA,Espresso,Decaf Espresso,Decaf
190,9,West,WA,Coffee,Decaf Irish Cream,Decaf
310,115,West,WA,Herbal Tea,Chamomile,Decaf
85,30,West,WA,Herbal Tea,Lemon,Decaf
180,70,West,WA,Tea,Darjeeling,Regular
150,48,West,WA,Tea,Earl Grey,Regular
180,8,West,WA,Tea,Green Tea,Regular
130,38,West,WA,Coffee,Columbian,Regular
243,105,Central,CO,Coffee,Amaretto,Regular
190,68,Central,CO,Coffee,Columbian,Regular
232,99,Central,CO,Coffee,Decaf Irish Cream,Decaf
100,30,Central,CO,Tea,Green Tea,Regular
189,80,Central,CO,Espresso,Caffe Mocha,Regular
189,59,Central,CO,Espresso,Decaf Espresso,Decaf
340,99,Central,CO,Herbal Tea,Chamomile,Decaf
129,3,Central,CO,Herbal Tea,Lemon,Decaf
140,33,Central,CO,Herbal Tea,Mint,Decaf
132,18,Central,CO,Tea,Darjeeling,Regular
136,34,Central,CO,Tea,Earl Grey,Regular
354,115,Central,IL,Coffee,Columbian,Regular
254,95,Central,IL,Coffee,Decaf Irish Cream,Decaf
545,201,Central,IL,Espresso,Caffe Mocha,Regular
457,142,Central,IL,Espresso,Decaf Espresso,Decaf
243,105,Central,IL,Herbal Tea,Chamomile,Decaf
190,68,Central,IL,Herbal Tea,Lemon,Decaf
232,99,Central,IL,Herbal Tea,Mint,Decaf
189,79,Central,IL,Tea,Darjeeling,Regular
189,59,Central,IL,Tea,Earl Grey,Regular
45,10,Central,IA,Coffee,Amaretto,Regular
63,6,Central,IA,Coffee,Columbian,Regular
54,12,Central,IA,Coffee,Decaf Irish Cream,Decaf
47,11,Central,IA,Espresso,Caffe Mocha,Regular
43,32,Central,IA,Espresso,Decaf Espresso,Decaf
545,201,Central,IA,Herbal Tea,Chamomile,Decaf
254,95,Central,IA,Herbal Tea,Lemon,Decaf
457,141,Central,IA,Tea,Darjeeling,Regular
534,169,Central,IA,Tea,Earl Grey,Regular
193,42,Central,MO,Coffee,Columbian,Regular
165,46,Central,MO,Coffee,Decaf Irish Cream,Decaf
74,4,Central,MO,Tea,Green Tea,Regular
123,48,Central,MO,Espresso,Caffe Mocha,Regular
103,38,Central,MO,Espresso,Decaf Espresso,Decaf
104,8,Central,MO,Herbal Tea,Chamomile,Decaf
102,32,Central,MO,Herbal Tea,Lemon,Decaf
82,9,Central,MO,Tea,Darjeeling,Regular
68,7,Central,MO,Tea,Earl Grey,Regular
140,33,Central,OH,Coffee,Amaretto,Regular
128,38,Central,OH,Coffee,Columbian,Regular
129,3,Central,OH,Coffee,Decaf Irish Cream,Decaf
200,62,Central,OH,Tea,Darjeeling,Regular
206,71,Central,OH,Tea,Earl Grey,Regular
132,18,Central,OH,Espresso,Decaf Espresso,Decaf
340,98,Central,OH,Espresso,Caffe Mocha,Regular
56,17,Central,OH,Herbal Tea,Chamomile,Decaf
80,28,Central,OH,Herbal Tea,Lemon,Decaf
118,12,Central,WI,Coffee,Amaretto,Regular
220,15,Central,WI,Coffee,Columbian,Regular
180,50,Central,WI,Coffee,Decaf Irish Cream,Decaf
137,41,Central,WI,Tea,Darjeeling,Regular
155,3,Central,WI,Tea,Earl Grey,Regular
110,35,Central,WI,Espresso,Decaf Espresso,Decaf
154,42,Central,WI,Espresso,Caffe Mocha,Regular
174,66,Central,WI,Herbal Tea,Chamomile,Decaf
115,43,Central,WI,Herbal Tea,Lemon,Decaf
123,48,East,CT,Tea,Darjeeling,Regular
66,21,East,CT,Tea,Green Tea,Regular
130,29,East,CT,Espresso,Decaf Espresso,Decaf
155,3,East,CT,Espresso,Caffe Mocha,Regular
325,121,East,CT,Coffee,Columbian,Regular
193,41,East,CT,Herbal Tea,Lemon,Decaf
165,46,East,CT,Herbal Tea,Mint,Decaf
80,28,East,FL,Tea,Darjeeling,Regular
115,44,East,FL,Tea,Green Tea,Regular
180,51,East,FL,Espresso,Decaf Espresso,Decaf
220,16,East,FL,Espresso,Caffe Mocha,Regular
206,71,East,FL,Coffee,Decaf Irish Cream,Decaf
200,63,East,FL,Coffee,Columbian,Regular
110,34,East,FL,Herbal Tea,Chamomile,Decaf
118,12,East,FL,Herbal Tea,Lemon,Decaf
154,42,East,FL,Herbal Tea,Mint,Decaf
80,28,East,MA,Tea,Darjeeling,Regular
56,17,East,MA,Tea,Green Tea,Regular
340,99,East,MA,Espresso,Regular Espresso,Regular
128,4,East,MA,Espresso,Caffe Mocha,Regular
470,340,East,MA,Coffee,Columbian,Regular
132,18,East,MA,Herbal Tea,Lemon,Decaf
45,11,East,NH,Tea,Darjeeling,Regular
43,32,East,NH,Tea,Green Tea,Regular
68,6,East,NH,Espresso,Regular Espresso,Regular
104,7,East,NH,Espresso,Caffe Mocha,Regular
101,25,East,NH,Coffee,Amaretto,Regular
114,23,East,NH,Coffee,Columbian,Regular
74,4,East,NH,Herbal Tea,Lemon,Decaf
232,100,East,NY,Tea,Darjeeling,Regular
243,105,East,NY,Tea,Earl Grey,Regular
189,79,East,NY,Tea,Green Tea,Regular
580,264,East,NY,Espresso,Regular Espresso,Regular
61,203,East,NY,Espresso,Caffe Mocha,Regular
645,245,East,NY,Coffee,Columbian,Regular
495,131,East,NY,Herbal Tea,Lemon,Decaf
180,120,East,NY,Herbal Tea,Mint,Decaf
174,65,South,LA,Espresso,Caffe Mocha,Regular
137,41,South,LA,Espresso,Decaf Espresso,Decaf
112,35,South,LA,Herbal Tea,Chamomile,Decaf
193,42,South,LA,Herbal Tea,Lemon,Decaf
155,2,South,LA,Espresso,Caffe Latte,Regular
94,34,South,LA,Coffee,Columbian,Regular
115,44,South,LA,Coffee,Decaf Irish Cream,Decaf
104,7,South,NM,Espresso,Caffe Mocha,Regular
82,8,South,NM,Espresso,Decaf Espresso,Decaf
45,10,South,NM,Herbal Tea,Chamomile,Decaf
63,5,South,NM,Herbal Tea,Lemon,Decaf
68,7,South,NM,Espresso,Caffe Latte,Regular
114,24,South,NM,Coffee,Columbian,Regular
102,31,South,NM,Coffee,Decaf Irish Cream,Decaf
206,70,South,OK,Espresso,Caffe Latte,Regular
56,17,South,OK,Espresso,Caffe Mocha,Regular
200,63,South,OK,Espresso,Decaf Espresso,Decaf
118,11,South,OK,Herbal Tea,Chamomile,Decaf
220,15,South,OK,Herbal Tea,Lemon,Decaf
100,29,South,OK,Coffee,Columbian,Regular
80,29,South,OK,Coffee,Decaf Irish Cream,Decaf
189,58,South,TX,Espresso,Caffe Latte,Regular
243,106,South,TX,Espresso,Caffe Mocha,Regular
189,80,South,TX,Espresso,Decaf Espresso,Decaf
140,33,South,TX,Herbal Tea,Chamomile,Decaf
128,38,South,TX,Herbal Tea,Lemon,Decaf
465,164,South,TX,Coffee,Columbian,Regular
190,68,South,TX,Coffee,Decaf Irish Cream,Decaf
103,38,West,UT,Espresso,Caffe Latte,Regular
112,35,West,UT,Espresso,Caffe Mocha,Regular
123,48,West,UT,Espresso,Decaf Espresso,Decaf
101,24,West,UT,Herbal Tea,Chamomile,Decaf
114,24,West,UT,Herbal Tea,Lemon,Decaf
102,31,West,UT,Herbal Tea,Mint,Decaf
104,7,West,UT,Tea,Darjeeling,Regular
82,9,West,UT,Tea,Earl Grey,Regular
68,6,West,UT,Tea,Green Tea,Regular
165,46,West,UT,Coffee,Amaretto,Regular
130,30,West,UT,Coffee,Columbian,Regular
193,41,West,UT,Coffee,Decaf Irish Cream,Decaf
457,142,West,CA,Espresso,Caffe Latte,Regular
290,26,West,CA,Espresso,Caffe Mocha,Regular
545,202,West,CA,Espresso,Decaf Espresso,Decaf
232,100,West,CA,Herbal Tea,Chamomile,Decaf
465,164,West,CA,Herbal Tea,Lemon,Decaf
190,68,West,CA,Herbal Tea,Mint,Decaf
243,106,West,CA,Tea,Darjeeling,Regular
189,80,West,CA,Tea,Earl Grey,Regular
189,58,West,CA,Tea,Green Tea,Regular
132,27,West,CA,Coffee,Amaretto,Regular
645,245,West,CA,Coffee,Columbian,Regular
122,117,West,CA,Coffee,Decaf Irish Cream,Decaf
43,31,West,NV,Espresso,Caffe Latte,Regular
45,10,West,NV,Espresso,Caffe Mocha,Regular
47,11,West,NV,Espresso,Decaf Espresso,Decaf
63,6,West,NV,Coffee,Decaf Irish Cream,Decaf
290,26,West,NV,Herbal Tea,Chamomile,Decaf
354,115,West,NV,Herbal Tea,Lemon,Decaf
254,94,West,NV,Herbal Tea,Mint,Decaf
545,202,West,NV,Tea,Darjeeling,Regular
457,142,West,NV,Tea,Earl Grey,Regular
23,342,West,NV,Tea,Green Tea,Regular
74,5,West,NV,Coffee,Columbian,Regular
132,18,West,OR,Espresso,Caffe Latte,Regular
140,33,West,OR,Espresso,Caffe Mocha,Regular
340,99,West,OR,Espresso,Decaf Espresso,Decaf
128,38,West,OR,Coffee,Decaf Irish Cream,Decaf
81,28,West,OR,Herbal Tea,Chamomile,Decaf
100,30,West,OR,Herbal Tea,Lemon,Decaf
56,17,West,OR,Tea,Darjeeling,Regular
200,62,West,OR,Tea,Earl Grey,Regular
206,71,West,OR,Tea,Green Tea,Regular
129,4,West,OR,Coffee,Amaretto,Regular
155,25,West,OR,Coffee,Columbian,Regular
110,35,West,WA,Espresso,Caffe Latte,Regular
118,12,West,WA,Espresso,Caffe Mocha,Regular
154,41,West,WA,Espresso,Decaf Espresso,Decaf
220,15,West,WA,Coffee,Decaf Irish Cream,Decaf
325,121,West,WA,Herbal Tea,Chamomile,Decaf
94,34,West,WA,Herbal Tea,Lemon,Decaf
174,66,West,WA,Tea,Darjeeling,Regular
137,41,West,WA,Tea,Earl Grey,Regular
155,3,West,WA,Tea,Green Tea,Regular
142,44,West,WA,Coffee,Columbian,Regular
213,90,Central,CO,Coffee,Amaretto,Regular
193,69,Central,CO,Coffee,Columbian,Regular
234,101,Central,CO,Coffee,Decaf Irish Cream,Decaf
98,29,Central,CO,Tea,Green Tea,Regular
198,84,Central,CO,Espresso,Caffe Mocha,Regular
180,54,Central,CO,Espresso,Decaf Espresso,Decaf
325,94,Central,CO,Herbal Tea,Chamomile,Decaf
125,4,Central,CO,Herbal Tea,Lemon,Decaf
134,31,Central,CO,Herbal Tea,Mint,Decaf
129,16,Central,CO,Tea,Darjeeling,Regular
135,32,Central,CO,Tea,Earl Grey,Regular
367,119,Central,IL,Coffee,Columbian,Regular
267,102,Central,IL,Coffee,Decaf Irish Cream,Decaf
567,211,Central,IL,Espresso,Caffe Mocha,Regular
478,148,Central,IL,Espresso,Decaf Espresso,Decaf
213,91,Central,IL,Herbal Tea,Chamomile,Decaf
193,70,Central,IL,Herbal Tea,Lemon,Decaf
234,102,Central,IL,Herbal Tea,Mint,Decaf
198,84,Central,IL,Tea,Darjeeling,Regular
180,53,Central,IL,Tea,Earl Grey,Regular
45,10,Central,IA,Coffee,Amaretto,Regular
63,6,Central,IA,Coffee,Columbian,Regular
54,12,Central,IA,Coffee,Decaf Irish Cream,Decaf
41,9,Central,IA,Espresso,Caffe Mocha,Regular
43,32,Central,IA,Espresso,Decaf Espresso,Decaf
567,212,Central,IA,Herbal Tea,Chamomile,Decaf
267,102,Central,IA,Herbal Tea,Lemon,Decaf
478,148,Central,IA,Tea,Darjeeling,Regular
546,175,Central,IA,Tea,Earl Grey,Regular
189,39,Central,MO,Coffee,Columbian,Regular
163,45,Central,MO,Coffee,Decaf Irish Cream,Decaf
75,4,Central,MO,Tea,Green Tea,Regular
121,47,Central,MO,Espresso,Caffe Mocha,Regular
118,45,Central,MO,Espresso,Decaf Espresso,Decaf
107,6,Central,MO,Herbal Tea,Chamomile,Decaf
106,32,Central,MO,Herbal Tea,Lemon,Decaf
85,11,Central,MO,Tea,Darjeeling,Regular
75,3,Central,MO,Tea,Earl Grey,Regular
134,32,Central,OH,Coffee,Amaretto,Regular
121,35,Central,OH,Coffee,Columbian,Regular
125,4,Central,OH,Coffee,Decaf Irish Cream,Decaf
210,68,Central,OH,Tea,Darjeeling,Regular
214,74,Central,OH,Tea,Earl Grey,Regular
129,15,Central,OH,Espresso,Decaf Espresso,Decaf
325,94,Central,OH,Espresso,Caffe Mocha,Regular
53,15,Central,OH,Herbal Tea,Chamomile,Decaf
79,28,Central,OH,Herbal Tea,Lemon,Decaf
120,13,Central,WI,Coffee,Amaretto,Regular
227,17,Central,WI,Coffee,Columbian,Regular
188,55,Central,WI,Coffee,Decaf Irish Cream,Decaf
129,38,Central,WI,Tea,Darjeeling,Regular
150,1,Central,WI,Tea,Earl Grey,Regular
112,34,Central,WI,Espresso,Decaf Espresso,Decaf
155,41,Central,WI,Espresso,Caffe Mocha,Regular
167,63,Central,WI,Herbal Tea,Chamomile,Decaf
121,47,Central,WI,Herbal Tea,Lemon,Decaf
121,47,East,CT,Tea,Darjeeling,Regular
62,18,East,CT,Tea,Green Tea,Regular
124,26,East,CT,Espresso,Decaf Espresso,Decaf
150,0,East,CT,Espresso,Caffe Mocha,Regular
309,114,East,CT,Coffee,Columbian,Regular
189,39,East,CT,Herbal Tea,Lemon,Decaf
163,46,East,CT,Herbal Tea,Mint,Decaf
81,27,East,FL,Tea,Darjeeling,Regular
121,47,East,FL,Tea,Green Tea,Regular
188,54,East,FL,Espresso,Decaf Espresso,Decaf
227,17,East,FL,Espresso,Caffe Mocha,Regular
214,74,East,FL,Coffee,Decaf Irish Cream,Decaf
210,67,East,FL,Coffee,Columbian,Regular
112,35,East,FL,Herbal Tea,Chamomile,Decaf
120,12,East,FL,Herbal Tea,Lemon,Decaf
155,40,East,FL,Herbal Tea,Mint,Decaf
79,28,East,MA,Tea,Darjeeling,Regular
53,15,East,MA,Tea,Green Tea,Regular
325,94,East,MA,Espresso,Regular Espresso,Regular
125,4,East,MA,Espresso,Caffe Mocha,Regular
492,366,East,MA,Coffee,Columbian,Regular
129,16,East,MA,Herbal Tea,Lemon,Decaf
45,11,East,NH,Tea,Darjeeling,Regular
43,32,East,NH,Tea,Green Tea,Regular
75,4,East,NH,Espresso,Regular Espresso,Regular
107,7,East,NH,Espresso,Caffe Mocha,Regular
107,29,East,NH,Coffee,Amaretto,Regular
119,26,East,NH,Coffee,Columbian,Regular
75,3,East,NH,Herbal Tea,Lemon,Decaf
234,102,East,NY,Tea,Darjeeling,Regular
213,91,East,NY,Tea,Earl Grey,Regular
198,83,East,NY,Tea,Green Tea,Regular
63,208,East,NY,Espresso,Caffe Mocha,Regular
523,194,East,NY,Espresso,Regular Espresso,Regular
675,259,East,NY,Coffee,Columbian,Regular
513,141,East,NY,Herbal Tea,Lemon,Decaf
182,119,East,NY,Herbal Tea,Mint,Decaf
150,1,South,LA,Espresso,Caffe Latte,Regular
167,63,South,LA,Espresso,Caffe Mocha,Regular
129,38,South,LA,Espresso,Decaf Espresso,Decaf
110,34,South,LA,Herbal Tea,Chamomile,Decaf
189,39,South,LA,Herbal Tea,Lemon,Decaf
121,47,South,LA,Coffee,Decaf Irish Cream,Decaf
82,29,South,LA,Coffee,Columbian,Regular
75,3,South,NM,Espresso,Caffe Latte,Regular
107,7,South,NM,Espresso,Caffe Mocha,Regular
85,11,South,NM,Espresso,Decaf Espresso,Decaf
45,10,South,NM,Herbal Tea,Chamomile,Decaf
63,5,South,NM,Herbal Tea,Lemon,Decaf
106,33,South,NM,Coffee,Decaf Irish Cream,Decaf
119,26,South,NM,Coffee,Columbian,Regular
214,74,South,OK,Espresso,Caffe Latte,Regular
53,15,South,OK,Espresso,Caffe Mocha,Regular
210,68,South,OK,Espresso,Decaf Espresso,Decaf
120,13,South,OK,Herbal Tea,Chamomile,Decaf
227,17,South,OK,Herbal Tea,Lemon,Decaf
79,27,South,OK,Coffee,Decaf Irish Cream,Decaf
98,29,South,OK,Coffee,Columbian,Regular
180,54,South,TX,Espresso,Caffe Latte,Regular
213,91,South,TX,Espresso,Caffe Mocha,Regular
198,84,South,TX,Espresso,Decaf Espresso,Decaf
134,31,South,TX,Herbal Tea,Chamomile,Decaf
121,35,South,TX,Herbal Tea,Lemon,Decaf
193,70,South,TX,Coffee,Decaf Irish Cream,Decaf
467,166,South,TX,Coffee,Columbian,Regular
118,45,West,UT,Espresso,Caffe Latte,Regular
110,34,West,UT,Espresso,Caffe Mocha,Regular
121,47,West,UT,Espresso,Decaf Espresso,Decaf
189,38,West,UT,Coffee,Decaf Irish Cream,Decaf
107,28,West,UT,Herbal Tea,Chamomile,Decaf
119,26,West,UT,Herbal Tea,Lemon,Decaf
106,32,West,UT,Herbal Tea,Mint,Decaf
107,7,West,UT,Tea,Darjeeling,Regular
85,10,West,UT,Tea,Earl Grey,Regular
75,4,West,UT,Tea,Green Tea,Regular
163,45,West,UT,Coffee,Amaretto,Regular
124,26,West,UT,Coffee,Columbian,Regular
478,149,West,CA,Espresso,Caffe Latte,Regular
298,27,West,CA,Espresso,Caffe Mocha,Regular
567,211,West,CA,Espresso,Decaf Espresso,Decaf
127,121,West,CA,Coffee,Decaf Irish Cream,Decaf
234,101,West,CA,Herbal Tea,Chamomile,Decaf
467,165,West,CA,Herbal Tea,Lemon,Decaf
193,69,West,CA,Herbal Tea,Mint,Decaf
213,91,West,CA,Tea,Darjeeling,Regular
198,84,West,CA,Tea,Earl Grey,Regular
180,54,West,CA,Tea,Green Tea,Regular
125,41,West,CA,Coffee,Amaretto,Regular
675,259,West,CA,Coffee,Columbian,Regular
43,31,West,NV,Espresso,Caffe Latte,Regular
45,10,West,NV,Espresso,Caffe Mocha,Regular
41,10,West,NV,Espresso,Decaf Espresso,Decaf
63,6,West,NV,Coffee,Decaf Irish Cream,Decaf
298,27,West,NV,Herbal Tea,Chamomile,Decaf
367,119,West,NV,Herbal Tea,Lemon,Decaf
267,102,West,NV,Herbal Tea,Mint,Decaf
567,212,West,NV,Tea,Darjeeling,Regular
478,148,West,NV,Tea,Earl Grey,Regular
32,340,West,NV,Tea,Green Tea,Regular
75,4,West,NV,Coffee,Columbian,Regular
129,15,West,OR,Espresso,Caffe Latte,Regular
134,32,West,OR,Espresso,Caffe Mocha,Regular
325,94,West,OR,Espresso,Decaf Espresso,Decaf
121,34,West,OR,Coffee,Decaf Irish Cream,Decaf
92,33,West,OR,Herbal Tea,Chamomile,Decaf
98,29,West,OR,Herbal Tea,Lemon,Decaf
53,16,West,OR,Tea,Darjeeling,Regular
210,68,West,OR,Tea,Earl Grey,Regular
214,74,West,OR,Tea,Green Tea,Regular
125,3,West,OR,Coffee,Amaretto,Regular
149,24,West,OR,Coffee,Columbian,Regular
112,35,West,WA,Espresso,Caffe Latte,Regular
120,12,West,WA,Espresso,Caffe Mocha,Regular
155,40,West,WA,Espresso,Decaf Espresso,Decaf
227,16,West,WA,Coffee,Decaf Irish Cream,Decaf
309,115,West,WA,Herbal Tea,Chamomile,Decaf
82,29,West,WA,Herbal Tea,Lemon,Decaf
167,62,West,WA,Tea,Darjeeling,Regular
129,38,West,WA,Tea,Earl Grey,Regular
150,0,West,WA,Tea,Green Tea,Regular
