Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Average Cost,Expenditure,Average Faculty Salary,Median Debt,Average Age of Entry,Average Family Income,Median Family Income,Mean Earnings,Median Earnings
Arizona State University-Tempe,3,4,Public,Southwest,Mid-size City,0.8023,25,1145,21960,9080,10405,16250,22.55999947,63334.02,43477,46000,41200
University of Arizona,3,4,Public,Southwest,Large City,0.7692,24,1106,23905,11382,10320,13500,21.52000046,68621.67,46758,46400,40000
Embry-Riddle Aeronautical University-Prescott,3,4,Private,Southwest,Fringe Rural,0.7898,26,1171,45228,18433,8387,16500,23.22999954,71628,52839,59200,53800
Northern Arizona University,3,4,Public,Southwest,Small City,0.9137,23,1050,22771,6893,7863,15000,23.62000084,61101.19,43127,38900,36200
Prescott College,3,4,Private,Southwest,Small City,0.7293,26,1094,40206,6669,4248,19874.5,29.81999969,48368.15,29669,30600,30800
Arizona Christian University,3,3,Private,Southwest,Large City,0.6076,23,1045,34444,5656,4617,13136.5,22.29999924,55267.87,43195,32200,29300
University of Arkansas at Little Rock,3,4,Public,Southeast,Mid-size City,0.5274,24,1077,19894,7292,7480,14250,25.13999939,37463.78,26332.5,34600,31600
Lyon College,3,3,Private,Southeast,Remote Town,0.5898,25,1142,33355,11002,6354,12000,20.89999962,61878.9,49042.5,37200,35500
University of Arkansas,3,4,Public,Southeast,Small City,0.5858,26,1156,19917,8349,8902,14990,21.45999908,68151.74,52612,43700,39200
University of Arkansas at Pine Bluff,3,4,Public,Southeast,Small City,0.277,18,842,15414,7154,5341,13698.5,21.51000023,30961.41,23857,27100,23700
Arkansas State University-Main Campus,3,4,Public,Southeast,Small City,0.7551,24,1088,18809,5002,6957,13300,23.97999954,38618.99,27550,32300,29100
Arkansas Tech University,3,4,Public,Southeast,Remote Town,0.8503,22,1008,16126,4550,6096,10043,23.04999924,42912.59,31932,33700,30600
University of Central Arkansas,3,4,Public,Southeast,Small City,0.8997,23,1070,17899,6851,6434,11864,21.10000038,53694.68,39480,36300,33300
Central Baptist College,3,3,Private,Southeast,Small City,0.5407,21,974,20386,5075,4948,10828,24.46999931,53036.83,44821,36300,31200
Harding University,3,4,Private,Southeast,Distant Town,0.7628,25,1139,25475,9503,7082,19801.5,20.59000015,83726.71,76594,38600,35500
Henderson State University,3,4,Public,Southeast,Distant Town,0.6221,22,1011,18033,6124,5606,10443,22.09000015,44544.81,32258,34100,32300
Hendrix College,3,4,Private,Southeast,Small City,0.8039,29,1267,50172,12018,7233,19500,19.47999954,100605.48,80333,39300,36100
John Brown University,3,4,Private,Southeast,Distant Town,0.6982,25,1144,33326,7040,6425,17900,25.43000031,65047.55,53841.5,49600,43100
Ouachita Baptist University,3,3,Private,Southeast,Distant Town,0.7011,24,1090,31473,8912,4598,15000,19.59000015,82198.04,71658,36100,34600
University of the Ozarks,3,3,Private,Southeast,Remote Town,0.6136,23,1057,34532,10651,5489,12349.5,20.45999908,53160.42,44123,36000,33300
University of Arkansas Community College-Morrilton,2,2,Public,Southeast,Distant Town,0.5838,20,930,11593,3700,4606,5500,25.61000061,27845.43,20671,27100,25000
Williams Baptist College,3,3,Private,Southeast,Distant Rural,0.6798,22,1001,22330,5339,5359,10000,21.23999977,46079.94,39189,30200,28400
Southern Arkansas University Main Campus,3,4,Public,Southeast,Remote Town,0.6081,21,989,17738,6317,6077,10500,22.40999985,37692.78,27662,33300,31700
University of Arkansas-Fort Smith,3,3,Public,Southeast,Small City,0.5736,22,1028,14335,5165,6658,8240,24.29000092,34268.8,25892,31400,28400
Azusa Pacific University,3,4,Private,Far West,Large Suburb,0.7985,24,1098,44021,10343,9231,19000,24.51000023,87044.35,72335.5,49200,45800
Biola University,3,4,Private,Far West,Large Suburb,0.7286,25,1123,44573,10435,8924,19688,22.20999908,87464.81,71594,43000,37600
California Baptist University,3,4,Private,Far West,Large City,0.788,21,984,39026,8008,8355,19500,23.86000061,75462.81,63947,41500,36600
California Institute of Technology,3,4,Private,Far West,Mid-size City,0.1055,34,1534,56382,92854,16120,14583,19.79000092,78937.67,53201,72200,60100
California Lutheran University,3,4,Private,Far West,Mid-size City,0.4802,24,1108,48630,8149,9597,19500,21.72999954,95022.25,76461,48100,44300
California Polytechnic State University-San Luis Obispo,3,4,Public,Far West,Small Suburb,0.3123,28,1242,23867,9907,8675,17500,20.39999962,86747.55,72114,60000,55400
California State University-Bakersfield,3,4,Public,Far West,Large City,0.6626,19,901,18061,6087,8122,11000,24.39999962,38023.07,28069.5,43800,42300
California State University-Stanislaus,3,4,Public,Far West,Small Suburb,0.7215,19,917,17161,8274,8072,14000,23.64999962,43469.3,31658.5,40100,38500
California State University-San Bernardino,3,4,Public,Far West,Mid-size City,0.5831,18,888,17030,6585,8558,16431,24.04000092,40191.82,28986.5,42300,40600
California State Polytechnic University-Pomona,3,4,Public,Far West,Large Suburb,0.5218,23,1070,19402,7355,9101,15703.5,21.73999977,46768.74,30962,48100,45000
California State University-Chico,3,4,Public,Far West,Small City,0.7161,22,1014,22926,6800,8370,14889.5,22.29000092,58551.47,37864,45900,41100
California State University-Dominguez Hills,3,4,Public,Far West,Small City,0.5747,17,845,12957,6807,8202,14191,25.52000046,33355.93,25199.5,42500,39100
California State University-Fresno,3,4,Public,Far West,Large City,0.5815,19,920,16377,6446,8027,14500,22.36000061,40758.26,28781,40700,38100
California State University-Fullerton,3,4,Public,Far West,Large Suburb,0.4579,22,1021,16663,7685,8521,12900.5,22.60000038,46741.81,31500,43800,40500
California State University-East Bay,3,4,Public,Far West,Mid-size City,0.6872,19,910,20676,6978,8804,12500,24.81999969,36865.24,22898,48400,45800
California State University-Long Beach,3,4,Public,Far West,Large City,0.3082,21,1012,18085,7422,8671,14494,22.19000053,45976.99,30725,45300,42400
California State University-Los Angeles,3,4,Public,Far West,Large City,0.6752,18,871,14747,6569,8767,12000.5,24.20999908,27649.23,20015,42200,39400
California State University-Northridge,3,4,Public,Far West,Large City,0.4624,19,918,20899,6952,8395,12500,22.63999939,39205.28,27373,41900,38300
California State University-Sacramento,3,4,Public,Far West,Large City,0.6968,20,945,19380,7281,8364,15000,23.13999939,43423.41,28449,45200,42700
University of California-Berkeley,3,4,Public,Far West,Mid-size City,0.18,30,1350,32715,18072,14652,14480,20.78000069,60121.12,39266,62500,53000
University of California-Davis,3,4,Public,Far West,Small Suburb,0.4521,26,1192,31803,21365,12065,13626.5,20.51000023,59783.54,41894,54800,48500
University of California-Irvine,3,4,Public,Far West,Mid-size City,0.4239,24,1122,28980,17853,12839,15500,20.19000053,67260.78,50385,52000,47100
University of California-Los Angeles,3,4,Public,Far West,Large City,0.2199,28,1289,31474,38489,15089,15200,20.92000008,54271.79,34557.5,60000,51000
University of California-Riverside,3,4,Public,Far West,Large City,0.62,23,1078,29787,10473,11324,17000,20.07999992,57708.66,43078.5,43800,41100
University of California-San Diego,3,4,Public,Far West,Large City,0.375,28,1276,29751,22757,13126,18463,20.20000076,58621.21,41248,56800,50100
University of California-Santa Barbara,3,4,Public,Far West,Mid-size Suburb,0.4444,27,1212,31913,10571,13048,15000,20.04999924,70987.15,51240,50300,45600
University of California-Santa Cruz,3,4,Public,Far West,Small City,0.5991,23,1087,33208,8338,12110,16500,20.28000069,73778.36,58508,42200,37800
California Maritime Academy,3,4,Public,Far West,Mid-size City,0.748,24,1080,22223,13827,8259,21500,21.60000038,74171.52,60317.5,77100,74300
Chapman University,3,4,Private,Far West,Mid-size City,0.4471,27,1208,57020,13977,11095,19000,27.71999931,71813.4,53889,49800,48000
Concordia University-Irvine,3,4,Private,Far West,Mid-size City,0.9119,23,1020,41233,5628,7044,18112,22,86157.18,71434,41500,38000
San Diego Christian College,3,4,Private,Far West,Large Suburb,0.492,21,986,37696,4972,5271,11806,23.01000023,64080.54,51463,34600,31000
Claremont McKenna College,3,4,Private,Far West,Large Suburb,0.1173,31,1397,60065,26268,9388,12086,19.54000092,112417.66,88986.5,70800,55600
Dominican University of California,3,4,Private,Far West,Small City,0.7752,23,1057,56165,14357,8770,25222,25.20000076,73265.64,54367,54600,48700
Fresno Pacific University,3,4,Private,Far West,Large City,0.7844,20,979,33973,5520,6562,16802,26.02000046,56054.12,44931.5,38800,37600
Harvey Mudd College,3,3,Private,Far West,Large Suburb,0.1817,34,1483,60613,27810,12450,25000,19.29999924,104063.05,86164.5,76300,68300
Holy Names University,3,4,Private,Far West,Large City,0.5668,19,910,46994,7958,7717,21500,25.85000038,63127.65,45708,52900,45800
Humboldt State University,3,4,Public,Far West,Remote Town,0.8018,21,1008,23113,8294,8148,15000,22.87999916,47467.44,26935.5,34200,30400
Life Pacific College,3,4,Private,Far West,Large Suburb,0.7482,20,930,24492,3393,6394,13000,23.39999962,63254.59,45853,28100,24900
University of La Verne,3,4,Private,Far West,Large Suburb,0.3895,23,1035,45305,7629,8605,22218,27.76000023,54488.73,39519,47900,45300
La Sierra University,3,4,Private,Far West,Large City,0.4677,20,926,39842,10375,7230,14500,20.93000031,65695.31,51186,45000,37300
The Master's College and Seminary,3,4,Private,Far West,Large Suburb,0.6137,25,1104,40815,7582,7063,15750,21.97999954,77302.02,62514,42500,35400
Loyola Marymount University,3,4,Private,Far West,Large City,0.5412,27,1202,55432,14921,10098,20201.5,20.12000084,101494.67,76696,58000,49600
Menlo College,3,3,Private,Far West,Large Suburb,0.3705,22,1001,51649,8329,11564,19125,21.23999977,70808.27,54828,45900,41700
Mills College,3,4,Private,Far West,Large City,0.6798,26,1151,54668,15321,9759,20000,23.13999939,58485.19,35189.5,36900,32800
Mount St Mary's College,3,4,Private,Far West,Large City,0.7409,19,928,47905,8160,8055,21500,23.85000038,54413.5,39973.5,57200,50300
Notre Dame de Namur University,3,4,Private,Far West,Large Suburb,0.872,20,972,47115,6654,8084,18750,24.44000053,72776,55277,51600,47500
Occidental College,3,4,Private,Far West,Large City,0.4239,29,1303,60655,16465,10402,20900,19.61000061,86871.68,67714.5,46300,41100
Otis College of Art and Design,3,4,Private,Far West,Large City,0.4628,22,1002,52397,16683,6936,26500,21.75,61484.47,36748,45400,42400
Hope International University,3,4,Private,Far West,Large Suburb,0.4681,20,951,40303,5886,5232,17250,26.56999969,61808.16,51464,37100,33000
Pacific Union College,3,4,Private,Far West,Fringe Rural,0.5055,22,1017,38800,9586,6452,20832,22.81999969,79730.12,64885,51400,44600
University of the Pacific,3,4,Private,Far West,Large City,0.7265,26,1172,52406,17606,10089,21250,22.03000069,62103.51,40951,75600,64000
Point Loma Nazarene University,3,4,Private,Far West,Large City,0.6654,26,1155,43060,9224,9653,20500,21.96999931,95289.35,78964,46900,43900
Pomona College,3,3,Private,Far West,Large Suburb,0.1392,33,1454,57014,34930,12326,8561,19.37999916,96962.74,63215,53400,43100
University of Redlands,3,4,Private,Far West,Small City,0.672,25,1135,55268,9159,9234,24000,23.63999939,83774.07,69769,50000,47100
San Diego State University,3,4,Public,Far West,Large City,0.3121,24,1090,20252,6797,9229,14495,21.98999977,57515.91,37534,47300,44000
University of San Diego,3,4,Private,Far West,Large City,0.4885,28,1228,56346,13166,11648,19500,20.85000038,97719.44,69873.5,61800,53400
San Francisco Art Institute,3,4,Private,Far West,Large City,0.8269,25,1061,55809,9575,8172,13650.5,24.28000069,59373.19,28394,30200,27700
San Francisco State University,3,4,Public,Far West,Large City,0.6379,22,998,22267,7919,9147,15000,22.86000061,46467.57,29962,45800,42100
University of San Francisco,3,4,Private,Far West,Large City,0.6129,25,1161,55812,15041,12409,23000,22.20999908,90594.28,70581,62000,53300
William Jessup University,3,4,Private,Far West,Fringe Rural,0.6929,23,1039,34811,6607,7043,17000,25.07999992,66233.18,56144,37100,30300
San Jose State University,3,4,Public,Far West,Large City,0.6347,22,1030,21160,8070,9155,14000,22.54999924,43366.3,27853.5,52000,48100
Santa Clara University,3,4,Private,Far West,Mid-size City,0.5122,29,1294,57213,10783,11662,19500,19.95000076,120161.97,100259,69200,61500
Scripps College,3,4,Private,Far West,Large Suburb,0.357,31,1364,58888,28314,10598,12500,19.70000076,96293.5,79296,43800,38800
Simpson University,3,4,Private,Far West,Small City,0.555,22,1030,33889,6136,6144,16666,25.21999931,58109,44207,32300,28000
Saint Mary's College of California,3,4,Private,Far West,Fringe Rural,0.6947,25,1115,56500,12462,9229,21500,22.04000092,87410.41,65861,57800,50300
Sonoma State University,3,4,Public,Far West,Large Suburb,0.8186,22,1006,23675,7361,8448,14592,23.52000046,64411.44,46028,43600,40800
Vanguard University of Southern California,3,4,Private,Far West,Mid-size City,0.6977,23,980,41952,6369,7714,19895,22.62999916,82048.82,67855,38000,33900
Southern California Institute of Architecture,3,4,Private,Far West,Large City,0.8667,21,1137,50373,13100,9878,38000,23.64999962,37262.45,20582,44200,46900
University of Southern California,3,4,Private,Far West,Large City,0.1984,31,1380,59787,42077,13045,21500,21.65999985,74599.85,42938,74400,62300
Thomas Aquinas College,3,3,Private,Far West,Distant Rural,0.7921,27,1243,35056,11147,9253,15500,19.68000031,99937.49,86948,34800,33200
Westmont College,3,4,Private,Far West,Mid-size Suburb,0.7016,27,1193,51760,14814,9329,19500,19.37999916,116953.6,96799,45600,39200
Whittier College,3,4,Private,Far West,Large Suburb,0.6325,23,1043,49920,11366,8954,21500,19.71999931,87350.78,75319,41600,38900
Woodbury University,3,4,Private,Far West,Large City,0.5575,22,987,42465,12067,9365,27000,22.93000031,49061.63,35334.5,45300,41200
Adams State University,3,4,Public,Rocky Mountains,Remote Town,0.526,20,939,17759,7996,5986,11000,24.12999916,45711.23,34243,33600,30700
University of Colorado Denver,3,4,Public,Rocky Mountains,Large City,0.7587,23,1073,18822,25568,9364,16750,24.68000031,51853.53,36176,60300,50100
University of Colorado Colorado Springs,3,4,Public,Rocky Mountains,Large City,0.91,23,1068,16707,6820,7285,12500,22.87000084,61852.58,48420,41300,37300
University of Colorado Boulder,3,4,Public,Rocky Mountains,Small City,0.8771,27,1192,27854,13949,10298,15000,20.63999939,96924.8,73526,47900,41600
Colorado College,3,4,Private,Rocky Mountains,Large City,0.2228,30,1323,54200,20972,10886,17255,20.12999916,100140.33,73379,39400,34400
Colorado School of Mines,3,4,Public,Rocky Mountains,Large Suburb,0.3743,29,1298,29091,13498,10579,22625,20.02000046,83465.13,74554,78700,73000
Colorado State University-Fort Collins,3,4,Public,Rocky Mountains,Mid-size City,0.7743,25,1127,21823,10417,8869,16707.5,20.79000092,81929.11,69107,44200,39500
University of Denver,3,4,Private,Rocky Mountains,Large City,0.7673,28,1231,53614,14113,8914,20832,22.87000084,86015.75,55997.5,53700,47600
Fort Lewis College,3,3,Public,Rocky Mountains,Remote Town,0.875,23,1049,19565,6117,7028,10500,21.64999962,64088.61,47128,34000,30300
Colorado Mesa University,3,4,Public,Rocky Mountains,Small City,0.8212,21,972,18077,5323,6428,11250,23.34000015,53915.8,40837,36200,32400
Metropolitan State University of Denver,3,4,Public,Rocky Mountains,Large City,0.7116,21,973,14034,4898,5904,13450.5,25.09000015,46429.22,32755,38200,34900
University of Northern Colorado,3,4,Public,Rocky Mountains,Small City,0.6957,22,1029,19105,7571,7487,14250,21.25,77019.2,69484,38800,36200
Regis University,3,4,Private,Rocky Mountains,Large City,0.6986,24,1087,43058,6188,6685,20501,29.94000053,68787.79,53578.5,53900,49100
Colorado State University-Pueblo,3,4,Public,Rocky Mountains,Mid-size City,0.9434,21,967,18007,5368,6619,12061,24.21999931,50889.72,38635,35300,33700
Western State Colorado University,3,4,Public,Rocky Mountains,Remote Town,0.932,22,1005,18875,7812,6173,12000,21.63999939,71289.92,60062.5,34000,30100
University of Bridgeport,3,4,Private,New England,Mid-size City,0.6385,20,923,45640,7757,7160,17500,24.61000061,48341.16,36730,40200,37600
Central Connecticut State University,3,4,Public,New England,Large Suburb,0.6413,22,1006,20372,8990,8513,16852.5,21.22999954,74112.94,66799.5,43000,41200
University of Connecticut,3,4,Public,New England,Large Suburb,0.5366,28,1233,25786,20908,11500,18983,20.12000084,94914.09,86510,54100,49700
Eastern Connecticut State University,3,4,Public,New England,Fringe Town,0.6453,22,1017,22633,8554,8091,17500,21.11000061,81834.42,76549,40600,39500
University of Hartford,3,4,Private,New England,Mid-size City,0.6173,23,1053,47368,12566,8178,19944,20.14999962,95513.07,85192,41800,39400
University of New Haven,3,4,Private,New England,Large Suburb,0.7441,23,1034,48280,8635,9407,20500,20.63999939,86441.39,78636,46500,44000
Post University,3,4,Private For-Profit,New England,Mid-size Suburb,0.8302,19,865,40723,3142,7340,8099,24.14999962,59954.65,47674,39100,34700
Quinnipiac University,3,4,Private,New England,Large Suburb,0.6722,25,1102,53476,13065,8649,21852,19.89999962,118255.77,108100,57700,54100
University of Saint Joseph,3,4,Private,New England,Small City,0.857,20,950,42885,10997,8193,23627,23.32999992,64822.93,49233,47200,44600
Southern Connecticut State University,3,4,Public,New England,Mid-size City,0.7542,20,921,18628,10676,8318,17404,21.14999962,73298.65,62972.5,40300,38400
Trinity College,3,4,Private,New England,Mid-size City,0.3178,27,1240,59865,23403,10884,19275,20.31999969,117428.63,87726,56000,50300
Wesleyan University,3,4,Private,New England,Small City,0.2092,31,1387,61167,24442,11163,17625,19.37999916,106492.97,88497,46300,42000
Yale University,3,4,Private,New England,Mid-size City,0.0705,34,1497,59320,106214,16042,12000,22.29999924,73769.14,45652.5,100000,70600
Delaware State University,3,4,Public,Mid-Atlantic,Small City,0.4168,18,890,20506,10853,7478,15000,20.44000053,51471.74,40163,32000,30500
University of Delaware,3,4,Public,Mid-Atlantic,Large Suburb,0.6468,27,1178,21748,17186,11834,21000,19.69000053,111960.94,102027,53300,50100
Wesley College,3,4,Private,Mid-Atlantic,Small City,0.625,20,841,35199,6971,6703,14250,22.28000069,75952.19,65621,40600,38800
American University,3,4,Private,Mid-Atlantic,Large City,0.4312,28,1258,55159,12700,11074,19500,20.04999924,105560.77,86431,55900,51600
Catholic University of America,3,4,Private,Mid-Atlantic,Large City,0.6007,25,1118,54023,15799,9565,22000,21.21999931,120106.07,106352,51100,48900
Gallaudet University,3,4,Private,Mid-Atlantic,Large City,0.6558,18,841,29852,33092,10183,12000,22.72999954,42756.46,26730,29100,26400
George Washington University,3,4,Private,Mid-Atlantic,Large City,0.3308,29,1297,58925,19705,13058,22723,20.29999924,105732.4,85746,69400,60100
Georgetown University,3,4,Private,Mid-Atlantic,Large City,0.1697,31,1398,59900,29282,12851,17125,21.87000084,87179.34,60247,100300,76200
Howard University,3,4,Private,Mid-Atlantic,Large City,0.493,24,1081,40129,22191,8566,24250,20.96999931,63421.37,47531,46400,42400
The Baptist College of Florida,3,3,Private,Southeast,Distant Town,0.4257,24,1062,15748,5781,4941,14425,24.15999985,52369.53,38516.5,31000,27200
Barry University,3,4,Private,Southeast,Large Suburb,0.4678,19,930,41019,10646,7696,21500,27.72999954,53233.76,37767.5,46200,42200
Bethune-Cookman University,3,4,Private,Southeast,Small City,0.666,17,812,27017,5978,5838,18750,20.20000076,40392.46,31109,27000,23500
Lynn University,3,4,Private,Southeast,Small City,0.776,20,940,48735,9124,5194,13000,22.45000076,87543.56,56163,39700,34400
University of Central Florida,3,4,Public,Southeast,Large Suburb,0.4894,26,1175,19815,5403,8646,15000,22.14999962,54803.88,38367.5,42900,39300
Clearwater Christian College,3,4,Private,Southeast,Mid-size City,0.7009,22,1026,28463,5545,4964,13000,20.27000046,58518.03,49122,37000,31100
Eckerd College,3,3,Private,Southeast,Mid-size City,0.7104,26,1138,49802,11371,7433,23000,24.62000084,88787.07,71700,42100,36000
Edward Waters College,3,3,Private,Southeast,Large City,0.2732,17,802,22929,3304,4637,11351,22.18000031,29430.09,22439,26000,22000
Embry-Riddle Aeronautical University-Daytona Beach,3,4,Private,Southeast,Small City,0.7405,24,1105,45648,16386,8505,16500,23.22999954,71628,52839,59200,53800
Florida Agricultural and Mechanical University,3,4,Public,Southeast,Mid-size City,0.45,20,947,19191,7958,7994,20750,20.31999969,46236.87,33649,39800,32300
Florida Atlantic University,3,4,Public,Southeast,Small City,0.4773,22,1039,19131,6131,7962,12500,23.69000053,46536.36,32086,41400,37800
Flagler College-St Augustine,3,3,Private,Southeast,Small Suburb,0.4987,23,1096,28305,5796,6087,16500,21.80999947,72203.48,61140,34300,33800
Florida College,2,3,Private,Southeast,Large Suburb,0.5875,23,1060,25690,8775,6334,10750,19.46999931,75203.8,67855,34600,31200
Adventist University of Health Sciences,3,4,Private,Southeast,Mid-size City,0.1336,19,884,21358,8382,6539,15236,28.70999908,58585.71,49657.5,52400,51800
Florida Institute of Technology,3,4,Private,Southeast,Small City,0.6045,26,1153,52490,10719,9025,8509,20.36000061,87401.79,73416.5,54400,50500
Florida International University,3,4,Public,Southeast,Large Suburb,0.4304,26,1154,18426,6702,9653,13750,22.38999939,38171.07,27626,44200,40500
Florida Southern College,3,4,Private,Southeast,Small City,0.4989,25,1102,38413,6857,7152,18375,21.89999962,68962.06,56919.5,37900,35900
Florida State University,3,4,Public,Southeast,Mid-size City,0.5681,27,1212,20774,8596,9706,18750,20.76000023,68162.48,51372.5,44700,40000
University of Florida,3,4,Public,Southeast,Mid-size City,0.4655,29,1272,20456,15167,10498,14546,20.48999977,64142.77,45776.5,54600,46600
Jacksonville University,3,4,Private,Southeast,Large City,0.4737,22,1010,42459,8135,6923,15000,25.45999908,68702.63,55957,49000,42100
University of Miami,3,4,Private,Southeast,Large Suburb,0.4044,30,1332,57700,28251,11115,18750,20.87000084,86177.73,59417,60800,51100
University of North Florida,3,4,Public,Southeast,Large City,0.5343,25,1143,19415,5323,7279,14000,22.59000015,55334.71,41844.5,41100,38400
Northwood University-Florida,3,4,Private,Southeast,Mid-size City,0.5102,20,932,33485,6736,6891,18750,25.45999908,63920.59,49456,45500,40800
Nova Southeastern University,3,4,Private,Southeast,Large Suburb,0.5746,24,1084,40783,10921,9482,19482,27.12000084,45894.94,31833,50400,42300
Palm Beach Atlantic University,3,4,Private,Southeast,Mid-size City,0.8412,23,1061,37535,7805,7362,16297,24.42000008,75648.61,57521,41300,36000
Rollins College,3,4,Private,Southeast,Large Suburb,0.5889,27,1199,56309,12311,7767,23000,23.03000069,74429.57,46391,45600,40600
University of South Florida-Main Campus,3,4,Public,Southeast,Large City,0.4524,26,1168,19299,8322,8082,16954,22.48999977,52366.99,36808.5,40600,37900
St Thomas University,3,4,Private,Southeast,Large Suburb,0.4567,19,904,37090,7162,9486,16500,25.69000053,50272.73,35584,53300,41600
Stetson University,3,4,Private,Southeast,Mid-size Suburb,0.5925,26,1168,49939,11448,9877,18050,20.70999908,83620.71,64137,40300,36500
Southeastern University,3,4,Private,Southeast,Small City,0.5932,20,955,30333,5231,6899,14250,22.65999985,65179.01,55937,31200,28300
The University of Tampa,3,4,Private,Southeast,Large City,0.5221,24,1075,37714,6103,8424,17550.5,21.01000023,81805.23,66421,44000,40200
Trinity Baptist College,3,4,Private,Southeast,Large City,0.4847,19,863,16752,2670,3450,5500,21.95999908,49072.01,44214.5,28800,26400
Warner University,3,4,Private,Southeast,Fringe Rural,0.3378,19,908,28555,3166,4638,15306,28.25,48240.15,38439.5,40900,37000
Webber International University,3,4,Private,Southeast,Fringe Town,0.6377,21,922,34949,3018,4783,9500,21.87999916,62656.98,45832.5,31200,31100
The University of West Florida,3,4,Public,Southeast,Small City,0.4808,24,1062,18158,5710,7392,12500,23.73999977,47671.85,34467,36200,33400
Abraham Baldwin Agricultural College,2,3,Public,Southeast,Distant Town,0.709,19,897,14080,5121,4752,8198.5,22.94000053,43751.86,31944,32100,29200
Albany State University,3,4,Public,Southeast,Small City,0.1992,19,887,19025,7089,5607,24500,22.45999908,40236.45,29794,30700,27900
Andrew College,2,2,Private,Southeast,Distant Town,0.4013,17,825,26050,5501,3412,9000,19.79999924,54366.72,37059,26900,24500
Armstrong Atlantic State University,3,4,Public,Southeast,Mid-size City,0.6998,21,997,19802,5392,5620,12750,24.45000076,48128.12,34921,39200,36300
Point University,3,3,Private,Southeast,Distant Town,0.5353,20,946,27497,4477,5482,19500,21.85000038,66473.94,56038,29400,27800
Clark Atlanta University,3,4,Private,Southeast,Large City,0.568,19,880,34201,8191,6418,20000,19.92000008,55844.37,41956,32700,29800
